Drone location: drone coords: [2,2,14] size: [1,1,1], id: 193 
currentLocation: ap coords: [6,4,14] size: [1,1,1], id: 19 
currentLocation: ap coords: [6,5,14] size: [1,1,1], id: 23 
currentLocation: ap coords: [9,3,14] size: [1,1,1], id: 21 
currentLocation: ap coords: [10,5,14] size: [1,1,1], id: 21 
currentLocation: ap coords: [6,6,14] size: [1,1,1], id: 20 
currentLocation: ap coords: [5,7,14] size: [1,1,1], id: 20 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
This path: 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
This path: 
This path: 
This path: 
This path: 
ap coords: [6,4,14] size: [1,1,1], id: 0
This path: 
ap coords: [10,5,14] size: [1,1,1], id: 0
ap coords: [9,3,14] size: [1,1,1], id: 0
ap coords: [6,5,14] size: [1,1,1], id: 0
ap coords: [5,7,14] size: [1,1,1], id: 0
ap coords: [6,6,14] size: [1,1,1], id: 0
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [4,2,14] size: [1,1,1], id: 3
ap coords: [4,2,14] size: [1,1,1], id: 3
ap coords: [4,2,14] size: [1,1,1], id: 3
ap coords: [2,2,14] size: [1,1,1], id: 3
ap coords: [2,2,14] size: [1,1,1], id: 3
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [1,3,14] size: [1,1,1], id: 4
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [1,3,14] size: [1,1,1], id: 4
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [2,3,14] size: [1,1,1], id: 5
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [1,1,14] size: [1,1,1], id: 5
ap coords: [1,1,14] size: [1,1,1], id: 5
ap coords: [3,1,14] size: [1,1,1], id: 6
ap coords: [2,1,14] size: [1,1,1], id: 6
ap coords: [3,1,14] size: [1,1,1], id: 6
ap coords: [2,3,14] size: [1,1,1], id: 6
ap coords: [3,1,14] size: [1,1,1], id: 6
ap coords: [4,3,14] size: [1,1,1], id: 7
ap coords: [2,3,14] size: [1,1,1], id: 6
ap coords: [3,3,14] size: [1,1,1], id: 7
ap coords: [4,3,14] size: [1,1,1], id: 7
